0
1,s0 -> s0
2,s1 -> s0
3,s2 -> s0
4,s3 -> s0
5,s4 -> s0
6,s0 -> s1
7,s1 -> s1
8,s2 -> s1
9,s3 -> s1
10,s4 -> s1
11,s0 -> s2
12,s1 -> s2
13,s2 -> s2
14,s3 -> s2
15,s4 -> s2
16,s0 -> s3
17,s1 -> s3
18,s2 -> s3
19,s3 -> s3
20,s4 -> s3
21,s0 -> s4
22,s1 -> s4
23,s2 -> s4
24,s3 -> s4
25,s4 -> s4
26,s0 -> s0,s0 -> s0
27,s1 -> s0,s0 -> s0
28,s2 -> s0,s0 -> s0
29,s3 -> s0,s0 -> s0
30,s4 -> s0,s0 -> s0
31,s0 -> s1,s0 -> s0
32,s1 -> s1,s0 -> s0
33,s2 -> s1,s0 -> s0
34,s3 -> s1,s0 -> s0
35,s4 -> s1,s0 -> s0
36,s0 -> s2,s0 -> s0
37,s1 -> s2,s0 -> s0
38,s2 -> s2,s0 -> s0
39,s3 -> s2,s0 -> s0
40,s4 -> s2,s0 -> s0
41,s0 -> s3,s0 -> s0
42,s1 -> s3,s0 -> s0
43,s2 -> s3,s0 -> s0
44,s3 -> s3,s0 -> s0
45,s4 -> s3,s0 -> s0
46,s0 -> s4,s0 -> s0
47,s1 -> s4,s0 -> s0
48,s2 -> s4,s0 -> s0
49,s3 -> s4,s0 -> s0
50,s4 -> s4,s0 -> s0
51,s0 -> s0,s1 -> s0
52,s1 -> s0,s1 -> s0
53,s2 -> s0,s1 -> s0
54,s3 -> s0,s1 -> s0
55,s4 -> s0,s1 -> s0
56,s0 -> s1,s1 -> s0
57,s1 -> s1,s1 -> s0
58,s2 -> s1,s1 -> s0
59,s3 -> s1,s1 -> s0
60,s4 -> s1,s1 -> s0
61,s0 -> s2,s1 -> s0
62,s1 -> s2,s1 -> s0
63,s2 -> s2,s1 -> s0
64,s3 -> s2,s1 -> s0
65,s4 -> s2,s1 -> s0
66,s0 -> s3,s1 -> s0
67,s1 -> s3,s1 -> s0
68,s2 -> s3,s1 -> s0
69,s3 -> s3,s1 -> s0
70,s4 -> s3,s1 -> s0
71,s0 -> s4,s1 -> s0
