0
1,s0 -> s0
2,s1 -> s0
3,s0 -> s1
4,s1 -> s1
5,s0 -> s0,s0 -> s0
6,s1 -> s0,s0 -> s0
7,s0 -> s1,s0 -> s0
8,s1 -> s1,s0 -> s0
9,s0 -> s0,s1 -> s0
10,s1 -> s0,s1 -> s0
11,s0 -> s1,s1 -> s0
12,s1 -> s1,s1 -> s0
13,s0 -> s0,s0 -> s1
14,s1 -> s0,s0 -> s1
15,s0 -> s1,s0 -> s1
16,s1 -> s1,s0 -> s1
17,s0 -> s0,s1 -> s1
18,s1 -> s0,s1 -> s1
19,s0 -> s1,s1 -> s1
20,s1 -> s1,s1 -> s1
21,s0 -> s0,s0 -> s0,s0 -> s0
22,s1 -> s0,s0 -> s0,s0 -> s0
23,s0 -> s1,s0 -> s0,s0 -> s0
24,s1 -> s1,s0 -> s0,s0 -> s0
25,s0 -> s0,s1 -> s0,s0 -> s0
